1951	0.58	82.0	44.0	40.6	1
1952	0.40	83.0	18.0	43.0	3
1953	0.55	85.0	36.0	30.7	3
1954	0.40	85.0	36.0	40.7	3
1955	0.48	88.0	49.0	43.0	3
1956	0.41	82.0	35.0	78.6	2
1957	0.65	80.0	29.0	33.2	1
1958	0.45	82.0	32.0	33.1	2
1959	0.39	81.0	27.0	46.5	2
1960	0.34	85.0	28.0	41.7	2
1961	0.42	84.0	38.0	20.4	2
1962	0.52	86.0	38.0	0.2     1
1963	0.46	88.0	25.0	56.7	3
1964	0.48	83.0	46.0	13.6	1
1965	0.53	84.0	41.0	32.3	1
1966	0.65	81.0	31.0	28.9	1
1967	0.66	83.0	38.0	46.6	1
1968	0.53	80.0	42.0	93.1	2
1969	0.56	85.0	18.0	16.3	2
1970	0.45	83.0	37.0	23.9	2
1971	0.34	80.0	42.0	26.3	2
1972	0.41	79.0	38.0	40.8	2
1973	0.53	83.0	23.0	61.3	2
1974	0.48	84.0	19.0	23.2	3
1975	0.30	85.0	27.0	17.5	3
